id,sentence,subject_entity,object_entity,label
843,"1944년에, 소련 유성기어장치 과학자 오토 슈미트와 유리 등은 새로운 종류의 이원적인 이론을 제안하였다.","{'text': '오토 슈미트와 유리 등', 'start_idx': '22', 'end_idx': '33', 'entity_type': 'PER'}","{'text': '이원적인 이론', 'start_idx': '44', 'end_idx': '50', 'entity_type': 'CON'}",per:propose
584,가설상 이렇게 작은 블랙홀에서는 양자중력효과가 큰 역할을 발휘하여 작은 블랙홀을 안정화시킬 것이다.,"{'text': '블랙홀', 'start_idx': 11, 'end_idx': 13, 'entity_type': 'CLO'}","{'text': '양자중력효과', 'start_idx': 18, 'end_idx': 23, 'entity_type': 'CON'}",no_relation
309,이 명왕성의 두 위성에는 임시로 S/2005 P 1과 S/2005 P 2라는 이름이 붙여졌다.,"{'text': 'S/2005 P 1', 'start_idx': '18', 'end_idx': '27', 'entity_type': 'CLO'}","{'text': '명왕성', 'start_idx': '2', 'end_idx': '4', 'entity_type': 'CLO'}",clo:revolves
72,전형적인 은하에는 수천억 개의 별이 있으며 관측 가능한 우주 내에 존재하는 은하의 수는 총 1천 억 개에 이른다.,"{'text': '별', 'start_idx': '17', 'end_idx': '17', 'entity_type': 'CLO'}","{'text': '은하', 'start_idx': '5', 'end_idx': '6', 'entity_type': 'CLO'}",clo:exists_in
73,코로나로부터 플라즈마 입자 형태의 항성풍이 바깥쪽으로 퍼져 나가면서 성간 매질과 반응한다.,"{'text': '코로나', 'start_idx': '0', 'end_idx': '2', 'entity_type': 'CLO'}","{'text': '플라즈마 입자', 'start_idx': '7', 'end_idx': '13', 'entity_type': 'ELM'}",clo:composed_of
168,"역사적으로, 응집 물질 물리학은 고체 물리학에서 성장해 나왔고, 여전히 고체 물리학이 주된 세부 분야중의 하나이다. ","{'text': '응집 물질 물리학', 'start_idx': 7, 'end_idx': 15, 'entity_type': 'PER'}","{'text': '고체 물리학', 'start_idx': 18, 'end_idx': 23, 'entity_type': 'PER'}",no_relation
827,"궤도 공명 현상으로 인해, 수성의 태양일은 176 일, 항성일은 58.7 일이다.","{'text': '176 일', 'start_idx': '24', 'end_idx': '28', 'entity_type': 'MET'}","{'text': '수성', 'start_idx': '15', 'end_idx': '16', 'entity_type': 'CLO'}",met:feature_of
525,"혜성 중에는 궤도경사각 값이 큰 개체가 많은데, 그중 공전 주기가 백 년이 되지 않는 단주기 혜성의 경사각은 중간 정도이다.","{'text': '혜성', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}","{'text': '단주기 혜성', 'start_idx': '48', 'end_idx': '53', 'entity_type': 'CLO'}",clo:contains
412,"화성의 표면은 철의 산화로 붉은색을 띠기 때문에 동양권에서는 불을 뜻하는 화(火)를 써서 화성 또는 형혹성(熒惑星)이라 부르고, 서양권에서는 로마 신화의 전쟁의 신 마르스의 이름을 따 Mars라 부른다.","{'text': '화성', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}","{'text': '형혹성(熒惑星)', 'start_idx': '56', 'end_idx': '63', 'entity_type': 'CLO'}",clo:alias_of
596,"목성의 위성 중 일부 표면 아래에 있을 바다의 존재로, 이곳에 생명체가 존재할 가능성이 더 높을 것으로 추측된다..","{'text': '위성', 'start_idx': '4', 'end_idx': '5', 'entity_type': 'CLO'}","{'text': '목성', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}",clo:revolves
840,태양에 대한 정확한 과학적 지식의 발달 속도는 느렸으며 19세기까지도 천문학자들은 태양의 물리적 조성 및 에너지 원천에 알아낸 것들이 별로 많지 않았다.,"{'text': '19세기', 'start_idx': 31, 'end_idx': 34, 'entity_type': 'DAT'}","{'text': '태양', 'start_idx': 0, 'end_idx': 1, 'entity_type': 'CLO'}",no_relation
765,"1980 - 1990년대, 나트륨, 칼륨과 칼슘이 수성 대기 속에서 발견됐다.","{'text': '수성', 'start_idx': '28', 'end_idx': '29', 'entity_type': 'CLO'}","{'text': '나트륨', 'start_idx': '15', 'end_idx': '17', 'entity_type': 'ELM'}",clo:composed_of
226,혜성은 수 킬로미터 정도 크기의 휘발성 얼음 혼합물로 이루어진 태양계 천체이다.,"{'text': '혜성', 'start_idx': '0', 'end_idx': '1', 'entity_type': 'CLO'}","{'text': '얼음', 'start_idx': '22', 'end_idx': '23', 'entity_type': 'ELM'}",clo:composed_of
56,"고래자리 타우의 질량은 태양의 80퍼센트이며, 밝기는 60퍼센트 정도이다.","{'text': '타우', 'start_idx': 5, 'end_idx': 6, 'entity_type': 'CLO'}","{'text': '태양', 'start_idx': 13, 'end_idx': 14, 'entity_type': 'CLO'}",no_relation
